@relation 'apartment_prices-weka.filters.unsupervised.attribute.Remove-R19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72'

@attribute Area numeric
@attribute Rooms numeric
@attribute Bedrooms numeric
@attribute Floor numeric
@attribute MaxFloor numeric
@attribute LastFloor numeric
@attribute 'Electrical Points' numeric
@attribute 'Natural Gas' numeric
@attribute Bed numeric
@attribute 'Stove (Gas/Electric)' numeric
@attribute Table numeric
@attribute Refrigerator numeric
@attribute Chairs numeric
@attribute Oven numeric
@attribute 'Air Conditioner' numeric
@attribute 'Washing Machine' numeric
@attribute Sofa numeric
@attribute Dishwasher numeric
@attribute 'Status_Newly Constructed' numeric
@attribute 'Status_Old Constructed' numeric
@attribute 'Status_Under Construction' numeric
@attribute Status_nan numeric
@attribute 'Condition_Black Frame' numeric
@attribute 'Condition_Green Frame' numeric
@attribute 'Condition_Needs Renovation' numeric
@attribute 'Condition_Newly Renovated' numeric
@attribute 'Condition_Old Renovated' numeric
@attribute 'Condition_Ongoing Renovation' numeric
@attribute 'Condition_White Frame' numeric
@attribute 'Condition_White Plus' numeric
@attribute Condition_nan numeric
@attribute 'Heating_Central + Underfloor Heating' numeric
@attribute 'Heating_Central Heating' numeric
@attribute 'Heating_Electric Heater' numeric
@attribute 'Heating_Gas Heater' numeric
@attribute 'Heating_Individual Heating' numeric
@attribute 'Heating_No Heating' numeric
@attribute 'Heating_Underfloor Heating' numeric
@attribute Heating_nan numeric
@attribute 'PRICE (GEL)' numeric

@data
516,7,5,12,13,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2717100
77.5,4,2,8,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,293447
109,3,2,4,9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,597454
65,3,2,9,12,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,320453
48,2,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,182046
60,2,1,2,2,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,339638
80,4,2,16,16,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,171089
66.2,2,1,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238330
76,3,2,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,247672
77,3,2,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,392621
46,2,1,3,9,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,220085
